ticker,name,market,sector,sub_industry,market_cap_usd_b,turnaround_flag,legacy_v0_1_universe_role,legacy_v0_1_action,legacy_v0_1_reason,v0_3_universe_role,v0_3_action,v0_3_reason,candidate_track,gate3_recovery_required,gate3_recovery_status,gate3_continuation_status,gate3_final_status,ra_drawdown_from_52w_high_pct,ra_pass,rb_rebound_from_6m_low_pct,rb_pass,rc_ma50,rc_ma200,rc_pass,rd_avg_volume_1m,rd_avg_volume_6m,rd_pass,ca_drawdown_from_52w_high_pct,ca_pass,cb_pass,cc_1m_return_pct,cc_pass,cd_avg_volume_1m,cd_avg_volume_3m,cd_pass,ce_gate2_full_pass,ce_pass,price_data_source,price_data_asof,as_of_date,gate3_missing_data_notes,compatibility_notes
BRK.B,Berkshire Hathaway Inc.,US,Financials,Financial Services,1050.0,N,CORE,KEEP_CORE,METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,CORE,KEEP_CORE,NON_TURNAROUND_ROLE_UNCHANGED; Gate 3 metrics recorded for v0.4 evidence only; legacy_reason=METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,OBSERVATION_ONLY,N,FAIL,FAIL,FAIL,-6.5958,N,3.1199,N,477.5880,490.4311,N,4804400.00,4783904.76,Y,-6.5958,Y,N,1.5038,N,4804400.00,4882642.86,N,INSUFFICIENT_GATE2_DATA,INSUFFICIENT_DATA,yfinance,2026-05-27,2026-05-27,,v0_1_legacy_columns_preserved; non_turnaround_role_unchanged
LLY,Eli Lilly and Company,US,Health Care,Pharmaceuticals,881.0,N,CORE,KEEP_CORE,METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,CORE,KEEP_CORE,NON_TURNAROUND_ROLE_UNCHANGED; Gate 3 metrics recorded for v0.4 evidence only; legacy_reason=METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,OBSERVATION_ONLY,N,FAIL,FAIL,FAIL,-2.4344,N,27.2213,Y,946.8004,932.6588,Y,3421290.48,3169793.65,Y,-2.4344,N,Y,24.7216,Y,3421290.48,3069992.06,Y,INSUFFICIENT_GATE2_DATA,INSUFFICIENT_DATA,yfinance,2026-05-27,2026-05-27,,v0_1_legacy_columns_preserved; non_turnaround_role_unchanged
JPM,JPMorgan Chase & Co.,US,Financials,Banks,805.0,N,CORE,KEEP_CORE,METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,CORE,KEEP_CORE,NON_TURNAROUND_ROLE_UNCHANGED; Gate 3 metrics recorded for v0.4 evidence only; legacy_reason=METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,OBSERVATION_ONLY,N,FAIL,FAIL,FAIL,-10.5586,N,5.8125,N,302.3856,305.7022,N,8172190.48,9957277.78,N,-10.5586,Y,N,-3.9630,N,8172190.48,9365592.06,N,INSUFFICIENT_GATE2_DATA,INSUFFICIENT_DATA,yfinance,2026-05-27,2026-05-27,,v0_1_legacy_columns_preserved; non_turnaround_role_unchanged
MU,Micron Technology Inc.,US,Information Technology,Semiconductors,768.0,N,CORE,KEEP_CORE,METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,CORE,KEEP_CORE,NON_TURNAROUND_ROLE_UNCHANGED; Gate 3 metrics recorded for v0.4 evidence only; legacy_reason=METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,OBSERVATION_ONLY,N,FAIL,FAIL,FAIL,0.0000,N,314.5983,Y,538.1368,330.5234,Y,53537000.00,39552191.27,Y,0.0000,N,Y,76.9883,Y,53537000.00,47070887.30,Y,INSUFFICIENT_GATE2_DATA,INSUFFICIENT_DATA,yfinance,2026-05-27,2026-05-27,,v0_1_legacy_columns_preserved; non_turnaround_role_unchanged
AMD,Advanced Micro Devices Inc.,US,Information Technology,Semiconductors,686.0,N,CORE,KEEP_CORE,METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,CORE,KEEP_CORE,NON_TURNAROUND_ROLE_UNCHANGED; Gate 3 metrics recorded for v0.4 evidence only; legacy_reason=METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,OBSERVATION_ONLY,N,FAIL,FAIL,FAIL,-1.6571,N,159.5130,Y,315.3780,234.1477,Y,41109052.38,37168761.11,Y,-1.6571,N,Y,48.0859,Y,41109052.38,37942517.46,Y,INSUFFICIENT_GATE2_DATA,INSUFFICIENT_DATA,yfinance,2026-05-27,2026-05-27,,v0_1_legacy_columns_preserved; non_turnaround_role_unchanged
XOM,Exxon Mobil Corporation,US,Energy,Oil Gas & Consumable Fuels,665.0,N,CORE,KEEP_CORE,METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,CORE,KEEP_CORE,NON_TURNAROUND_ROLE_UNCHANGED; Gate 3 metrics recorded for v0.4 evidence only; legacy_reason=METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,OBSERVATION_ONLY,N,FAIL,FAIL,FAIL,-13.7458,N,29.1590,Y,155.3418,131.5278,Y,17255757.14,19838388.10,N,-13.7458,Y,Y,-0.1957,N,17255757.14,21057804.76,N,INSUFFICIENT_GATE2_DATA,INSUFFICIENT_DATA,yfinance,2026-05-27,2026-05-27,,v0_1_legacy_columns_preserved; non_turnaround_role_unchanged
V,Visa Inc.,US,Financials,Financial Services,626.0,N,CORE,KEEP_CORE,METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,CORE,KEEP_CORE,NON_TURNAROUND_ROLE_UNCHANGED; Gate 3 metrics recorded for v0.4 evidence only; legacy_reason=METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,OBSERVATION_ONLY,N,FAIL,FAIL,FAIL,-12.2418,N,10.8588,N,314.3898,330.8865,N,8039295.24,7445198.41,Y,-12.2418,Y,N,5.8001,Y,8039295.24,7298285.71,Y,INSUFFICIENT_GATE2_DATA,INSUFFICIENT_DATA,yfinance,2026-05-27,2026-05-27,,v0_1_legacy_columns_preserved; non_turnaround_role_unchanged
JNJ,Johnson & Johnson,US,Health Care,Pharmaceuticals,551.0,N,CORE,KEEP_CORE,METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,CORE,KEEP_CORE,NON_TURNAROUND_ROLE_UNCHANGED; Gate 3 metrics recorded for v0.4 evidence only; legacy_reason=METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,OBSERVATION_ONLY,N,FAIL,FAIL,FAIL,-6.9480,N,15.6681,Y,232.8976,211.3276,Y,7411309.52,8335915.87,N,-6.9480,Y,Y,2.6405,N,7411309.52,7737641.27,N,INSUFFICIENT_GATE2_DATA,INSUFFICIENT_DATA,yfinance,2026-05-27,2026-05-27,,v0_1_legacy_columns_preserved; non_turnaround_role_unchanged
INTC,Intel Corporation,US,Information Technology,Semiconductors,543.0,Y,HIGH_RISK_REVIEW,REVIEW_BEFORE_SCORING,TURNAROUND_IN_PROGRESS; METADATA_ONLY_AUDIT; turnaround flag prevents core classification,MANUAL_REVIEW,MANUAL_REVIEW,Gate 3 MANUAL_REVIEW; no arbitrary classification; metadata_role=CORE; recovery=FAIL; continuation=INSUFFICIENT_DATA,RECOVERY,Y,FAIL,INSUFFICIENT_DATA,MANUAL_REVIEW,-5.9255,N,240.2347,Y,79.5202,48.2014,Y,147409038.10,110483457.94,Y,-5.9255,Y,Y,43.2757,Y,147409038.10,118449696.83,Y,INSUFFICIENT_GATE2_DATA,INSUFFICIENT_DATA,yfinance,2026-05-27,2026-05-27,,v0_1_legacy_columns_preserved; turnaround_gate3_recovery_applied; role_changed:HIGH_RISK_REVIEW->MANUAL_REVIEW; action_changed:REVIEW_BEFORE_SCORING->MANUAL_REVIEW
ORCL,Oracle Corporation,US,Information Technology,Software,536.0,N,CORE,KEEP_CORE,METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,CORE,KEEP_CORE,NON_TURNAROUND_ROLE_UNCHANGED; Gate 3 metrics recorded for v0.4 evidence only; legacy_reason=METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,OBSERVATION_ONLY,N,FAIL,FAIL,FAIL,-41.8390,Y,39.9179,Y,168.6692,207.4021,N,20603000.00,27545492.86,N,-41.8390,N,N,10.4070,Y,20603000.00,26778293.65,N,INSUFFICIENT_GATE2_DATA,INSUFFICIENT_DATA,yfinance,2026-05-27,2026-05-27,,v0_1_legacy_columns_preserved; non_turnaround_role_unchanged
COST,Costco Wholesale Corporation,US,Consumer Staples,Consumer Staples Distribution,477.0,N,CORE,KEEP_CORE,METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,CORE,KEEP_CORE,NON_TURNAROUND_ROLE_UNCHANGED; Gate 3 metrics recorded for v0.4 evidence only; legacy_reason=METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,OBSERVATION_ONLY,N,FAIL,FAIL,FAIL,-8.2819,N,18.0812,Y,1007.9202,957.5622,Y,2015019.05,2252442.06,N,-8.2819,Y,Y,0.5691,N,2015019.05,1892436.51,Y,INSUFFICIENT_GATE2_DATA,INSUFFICIENT_DATA,yfinance,2026-05-27,2026-05-27,,v0_1_legacy_columns_preserved; non_turnaround_role_unchanged
CSCO,Cisco Systems Inc.,US,Information Technology,Communications Equipment,469.0,N,CORE,KEEP_CORE,METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,CORE,KEEP_CORE,NON_TURNAROUND_ROLE_UNCHANGED; Gate 3 metrics recorded for v0.4 evidence only; legacy_reason=METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,OBSERVATION_ONLY,N,FAIL,FAIL,FAIL,-0.6146,N,63.1493,Y,91.5094,78.3654,Y,26525366.67,22540042.86,Y,-0.6146,N,Y,35.5880,Y,26525366.67,23067046.03,Y,INSUFFICIENT_GATE2_DATA,INSUFFICIENT_DATA,yfinance,2026-05-27,2026-05-27,,v0_1_legacy_columns_preserved; non_turnaround_role_unchanged
MA,Mastercard Incorporated,US,Financials,Financial Services,446.0,N,CORE,KEEP_CORE,METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,CORE,KEEP_CORE,NON_TURNAROUND_ROLE_UNCHANGED; Gate 3 metrics recorded for v0.4 evidence only; legacy_reason=METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,OBSERVATION_ONLY,N,FAIL,FAIL,FAIL,-17.3501,N,2.2303,N,501.4726,542.6726,N,3773800.00,3527922.22,Y,-17.3501,N,N,-2.2491,N,3773800.00,3482400.00,Y,INSUFFICIENT_GATE2_DATA,INSUFFICIENT_DATA,yfinance,2026-05-27,2026-05-27,,v0_1_legacy_columns_preserved; non_turnaround_role_unchanged
CAT,Caterpillar Inc.,US,Industrials,Machinery,397.0,N,CORE,KEEP_CORE,METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,CORE,KEEP_CORE,NON_TURNAROUND_ROLE_UNCHANGED; Gate 3 metrics recorded for v0.4 evidence only; legacy_reason=METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,OBSERVATION_ONLY,N,FAIL,FAIL,FAIL,-1.8340,N,62.6037,Y,807.2682,630.8658,Y,2587395.24,2638666.67,N,-1.8340,N,Y,9.7902,Y,2587395.24,2524073.02,Y,INSUFFICIENT_GATE2_DATA,INSUFFICIENT_DATA,yfinance,2026-05-27,2026-05-27,,v0_1_legacy_columns_preserved; non_turnaround_role_unchanged
CVX,Chevron Corporation,US,Energy,Oil Gas & Consumable Fuels,387.0,N,CORE,KEEP_CORE,METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,CORE,KEEP_CORE,NON_TURNAROUND_ROLE_UNCHANGED; Gate 3 metrics recorded for v0.4 evidence only; legacy_reason=METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,OBSERVATION_ONLY,N,FAIL,FAIL,FAIL,-13.6159,N,24.2930,Y,192.7684,169.5516,Y,10192061.90,11412696.83,N,-13.6159,Y,Y,-1.2880,N,10192061.90,12276477.78,N,INSUFFICIENT_GATE2_DATA,INSUFFICIENT_DATA,yfinance,2026-05-27,2026-05-27,,v0_1_legacy_columns_preserved; non_turnaround_role_unchanged
NFLX,Netflix Inc.,US,Communication Services,Entertainment,377.0,N,CORE,KEEP_CORE,METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,CORE,KEEP_CORE,NON_TURNAROUND_ROLE_UNCHANGED; Gate 3 metrics recorded for v0.4 evidence only; legacy_reason=METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,OBSERVATION_ONLY,N,FAIL,FAIL,FAIL,-34.7711,Y,15.1463,Y,93.3724,101.5605,N,32715952.38,44924004.76,N,-34.7711,N,N,-4.3997,N,32715952.38,42808707.94,N,INSUFFICIENT_GATE2_DATA,INSUFFICIENT_DATA,yfinance,2026-05-27,2026-05-27,,v0_1_legacy_columns_preserved; non_turnaround_role_unchanged
ABBV,AbbVie Inc.,US,Health Care,Biotechnology,369.0,N,EXTENDED,KEEP_EXTENDED,MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,EXTENDED,KEEP_EXTENDED,NON_TURNAROUND_ROLE_UNCHANGED; Gate 3 metrics recorded for v0.4 evidence only; legacy_reason=MARKET_CAP_BELOW_THRESHOLD; METADATA_ONLY_AUDIT; below core threshold but retained for extended monitoring,OBSERVATION_ONLY,N,FAIL,FAIL,FAIL,-11.8586,N,9.1296,N,208.0618,219.3906,N,5971238.10,6588972.22,N,-11.8586,Y,N,9.1296,Y,5971238.10,6694633.33,N,INSUFFICIENT_GATE2_DATA,INSUFFICIENT_DATA,yfinance,2026-05-27,2026-05-27,,v0_1_legacy_columns_preserved; non_turnaround_role_unchanged
BAC,Bank of America Corporation,US,Financials,Banks,359.0,N,CORE,KEEP_CORE,METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,CORE,KEEP_CORE,NON_TURNAROUND_ROLE_UNCHANGED; Gate 3 metrics recorded for v0.4 evidence only; legacy_reason=METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,OBSERVATION_ONLY,N,FAIL,FAIL,FAIL,-10.7424,N,9.3750,N,51.0270,51.7987,N,33278800.00,38634942.06,N,-10.7424,Y,N,-2.9071,N,33278800.00,38361495.24,N,INSUFFICIENT_GATE2_DATA,INSUFFICIENT_DATA,yfinance,2026-05-27,2026-05-27,,v0_1_legacy_columns_preserved; non_turnaround_role_unchanged
UNH,UnitedHealth Group Incorporated,US,Health Care,Health Care Providers,355.0,N,CORE,KEEP_CORE,METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,CORE,KEEP_CORE,NON_TURNAROUND_ROLE_UNCHANGED; Gate 3 metrics recorded for v0.4 evidence only; legacy_reason=METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,OBSERVATION_ONLY,N,FAIL,FAIL,FAIL,-4.2751,N,48.2550,Y,334.5112,325.3590,Y,6839819.05,8477749.21,N,-4.2751,Y,Y,8.2664,Y,6839819.05,8261346.03,N,INSUFFICIENT_GATE2_DATA,INSUFFICIENT_DATA,yfinance,2026-05-27,2026-05-27,,v0_1_legacy_columns_preserved; non_turnaround_role_unchanged
KO,The Coca-Cola Company,US,Consumer Staples,Beverages,349.0,N,CORE,KEEP_CORE,METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,CORE,KEEP_CORE,NON_TURNAROUND_ROLE_UNCHANGED; Gate 3 metrics recorded for v0.4 evidence only; legacy_reason=METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,OBSERVATION_ONLY,N,FAIL,FAIL,FAIL,-0.3662,N,20.8469,Y,77.5820,72.8720,Y,14838895.24,16621921.43,N,-0.3662,N,Y,8.1919,Y,14838895.24,15123039.68,N,INSUFFICIENT_GATE2_DATA,INSUFFICIENT_DATA,yfinance,2026-05-27,2026-05-27,,v0_1_legacy_columns_preserved; non_turnaround_role_unchanged
LRCX,Lam Research Corporation,US,Information Technology,Semiconductor Equipment,347.0,N,CORE,KEEP_CORE,METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,CORE,KEEP_CORE,NON_TURNAROUND_ROLE_UNCHANGED; Gate 3 metrics recorded for v0.4 evidence only; legacy_reason=METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,OBSERVATION_ONLY,N,FAIL,FAIL,FAIL,-1.1621,N,112.0827,Y,260.0070,190.7282,Y,9316647.62,10738146.83,N,-1.1621,N,Y,22.9159,Y,9316647.62,9893173.02,N,INSUFFICIENT_GATE2_DATA,INSUFFICIENT_DATA,yfinance,2026-05-27,2026-05-27,,v0_1_legacy_columns_preserved; non_turnaround_role_unchanged
PG,The Procter & Gamble Company,US,Consumer Staples,Household Products,331.0,N,CORE,KEEP_CORE,METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,CORE,KEEP_CORE,NON_TURNAROUND_ROLE_UNCHANGED; Gate 3 metrics recorded for v0.4 evidence only; legacy_reason=METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,OBSERVATION_ONLY,N,FAIL,FAIL,FAIL,-13.1850,N,6.8459,N,144.6178,149.7758,N,8033471.43,10423972.22,N,-13.1850,Y,N,-0.6132,N,8033471.43,9503236.51,N,INSUFFICIENT_GATE2_DATA,INSUFFICIENT_DATA,yfinance,2026-05-27,2026-05-27,,v0_1_legacy_columns_preserved; non_turnaround_role_unchanged
AMAT,Applied Materials Inc.,US,Information Technology,Semiconductor Equipment,328.0,N,CORE,KEEP_CORE,METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,CORE,KEEP_CORE,NON_TURNAROUND_ROLE_UNCHANGED; Gate 3 metrics recorded for v0.4 evidence only; legacy_reason=METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,OBSERVATION_ONLY,N,FAIL,FAIL,FAIL,-1.4597,N,94.1232,Y,393.2930,289.9204,Y,7719271.43,7150711.11,Y,-1.4597,N,Y,10.7173,Y,7719271.43,6757450.79,Y,INSUFFICIENT_GATE2_DATA,INSUFFICIENT_DATA,yfinance,2026-05-27,2026-05-27,,v0_1_legacy_columns_preserved; non_turnaround_role_unchanged
PLTR,Palantir Technologies Inc.,US,Information Technology,Software,323.0,N,CORE,KEEP_CORE,METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,CORE,KEEP_CORE,NON_TURNAROUND_ROLE_UNCHANGED; Gate 3 metrics recorded for v0.4 evidence only; legacy_reason=METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,OBSERVATION_ONLY,N,FAIL,FAIL,FAIL,-36.0411,Y,3.4749,N,141.9527,162.1329,N,40350195.24,45310608.73,N,-36.0411,N,N,-7.4004,N,40350195.24,46204841.27,N,INSUFFICIENT_GATE2_DATA,INSUFFICIENT_DATA,yfinance,2026-05-27,2026-05-27,,v0_1_legacy_columns_preserved; non_turnaround_role_unchanged
MS,Morgan Stanley,US,Financials,Capital Markets,303.0,N,CORE,KEEP_CORE,METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,CORE,KEEP_CORE,NON_TURNAROUND_ROLE_UNCHANGED; Gate 3 metrics recorded for v0.4 evidence only; legacy_reason=METADATA_ONLY_AUDIT; large-cap metadata row without forced review marker,OBSERVATION_ONLY,N,FAIL,FAIL,FAIL,-0.0743,N,30.6018,Y,182.1406,170.2067,Y,5294757.14,6478514.29,N,-0.0743,N,Y,6.0101,Y,5294757.14,6366528.57,N,INSUFFICIENT_GATE2_DATA,INSUFFICIENT_DATA,yfinance,2026-05-27,2026-05-27,,v0_1_legacy_columns_preserved; non_turnaround_role_unchanged
